TABLE NO.  2
 -4.0096E-03  6.3384E-02 -5.6985E-01
 -4.0096E-03  6.3384E-02 -5.6985E-01
 -4.0096E-03  6.3384E-02 -5.6985E-01
 -4.0096E-03  6.3384E-02 -5.6985E-01
 -4.0096E-03  6.3384E-02 -5.6985E-01
 -5.8135E-03  5.6078E-02  2.4500E-01
 -5.8135E-03  5.6078E-02  2.4500E-01
 -5.8135E-03  5.6078E-02  2.4500E-01
 -5.8135E-03  5.6078E-02  2.4500E-01
 -5.8135E-03  5.6078E-02  2.4500E-01
 -5.8135E-03  5.6078E-02  2.4500E-01
 -5.8135E-03  5.6078E-02  2.4500E-01
 -5.8135E-03  5.6078E-02  2.4500E-01
  3.6617E-02 -1.0660E+00  2.1175E-01
  3.6617E-02 -1.0660E+00  2.1175E-01
  3.6617E-02 -1.0660E+00  2.1175E-01
  3.6617E-02 -1.0660E+00  2.1175E-01
  3.6617E-02 -1.0660E+00  2.1175E-01
  3.6617E-02 -1.0660E+00  2.1175E-01
 -1.5317E-02 -4.9539E-01  9.5464E-03
 -1.5317E-02 -4.9539E-01  9.5464E-03
 -1.5317E-02 -4.9539E-01  9.5464E-03
 -1.5317E-02 -4.9539E-01  9.5464E-03
 -1.5317E-02 -4.9539E-01  9.5464E-03
 -1.5317E-02 -4.9539E-01  9.5464E-03
 -1.5317E-02 -4.9539E-01  9.5464E-03
 -1.5317E-02 -4.9539E-01  9.5464E-03
 -3.6645E-02  6.3658E-01 -1.0469E-01
 -3.6645E-02  6.3658E-01 -1.0469E-01
 -3.6645E-02  6.3658E-01 -1.0469E-01
 -3.6645E-02  6.3658E-01 -1.0469E-01
 -3.6645E-02  6.3658E-01 -1.0469E-01
 -3.6645E-02  6.3658E-01 -1.0469E-01
 -3.6645E-02  6.3658E-01 -1.0469E-01
 -3.6645E-02  6.3658E-01 -1.0469E-01
 -3.6645E-02  6.3658E-01 -1.0469E-01
  2.0221E-02 -5.4131E-01  6.2337E-01
  2.0221E-02 -5.4131E-01  6.2337E-01
  2.0221E-02 -5.4131E-01  6.2337E-01
  2.0221E-02 -5.4131E-01  6.2337E-01
  2.0221E-02 -5.4131E-01  6.2337E-01
 -1.3015E-02  4.5712E-01  1.3044E-02
 -1.3015E-02  4.5712E-01  1.3044E-02
 -1.3015E-02  4.5712E-01  1.3044E-02
 -1.3015E-02  4.5712E-01  1.3044E-02
 -1.3015E-02  4.5712E-01  1.3044E-02
 -1.3015E-02  4.5712E-01  1.3044E-02
 -1.3015E-02  4.5712E-01  1.3044E-02
 -1.3015E-02  4.5712E-01  1.3044E-02
 -1.3015E-02  4.5712E-01  1.3044E-02
 -1.8128E-02  1.0350E-01 -6.9044E-01
 -1.8128E-02  1.0350E-01 -6.9044E-01
 -1.8128E-02  1.0350E-01 -6.9044E-01
 -1.8128E-02  1.0350E-01 -6.9044E-01
 -1.8128E-02  1.0350E-01 -6.9044E-01
 -1.8128E-02  1.0350E-01 -6.9044E-01
 -1.8128E-02  1.0350E-01 -6.9044E-01
 -1.8128E-02  1.0350E-01 -6.9044E-01
 -1.8128E-02  1.0350E-01 -6.9044E-01
 -1.8128E-02  1.0350E-01 -6.9044E-01
 -2.3033E-02 -4.8524E-01  1.2375E-02
 -2.3033E-02 -4.8524E-01  1.2375E-02
 -2.3033E-02 -4.8524E-01  1.2375E-02
 -2.3033E-02 -4.8524E-01  1.2375E-02
 -2.3033E-02 -4.8524E-01  1.2375E-02
 -2.3033E-02 -4.8524E-01  1.2375E-02
 -2.3033E-02 -4.8524E-01  1.2375E-02
 -2.3033E-02 -4.8524E-01  1.2375E-02
 -2.3033E-02 -4.8524E-01  1.2375E-02
 -3.9965E-02  5.4604E-01 -2.3227E-01
 -3.9965E-02  5.4604E-01 -2.3227E-01
 -3.9965E-02  5.4604E-01 -2.3227E-01
 -3.9965E-02  5.4604E-01 -2.3227E-01
 -3.9965E-02  5.4604E-01 -2.3227E-01
 -3.9965E-02  5.4604E-01 -2.3227E-01
 -3.9965E-02  5.4604E-01 -2.3227E-01
 -3.9965E-02  5.4604E-01 -2.3227E-01
 -3.9965E-02  5.4604E-01 -2.3227E-01
 -3.9965E-02  5.4604E-01 -2.3227E-01
  1.7341E-02  1.1576E-01  3.5956E-01
  1.7341E-02  1.1576E-01  3.5956E-01
  1.7341E-02  1.1576E-01  3.5956E-01
  1.7341E-02  1.1576E-01  3.5956E-01
  1.7341E-02  1.1576E-01  3.5956E-01
  1.7341E-02  1.1576E-01  3.5956E-01
  1.7341E-02  1.1576E-01  3.5956E-01
  1.4024E-03  8.5461E-02 -4.8079E-01
  1.4024E-03  8.5461E-02 -4.8079E-01
  1.4024E-03  8.5461E-02 -4.8079E-01
  1.4024E-03  8.5461E-02 -4.8079E-01
  1.4024E-03  8.5461E-02 -4.8079E-01
  1.4024E-03  8.5461E-02 -4.8079E-01
  1.4024E-03  8.5461E-02 -4.8079E-01
  1.4024E-03  8.5461E-02 -4.8079E-01
  1.4024E-03  8.5461E-02 -4.8079E-01
  1.4024E-03  8.5461E-02 -4.8079E-01
 -1.3488E-03 -1.0361E-01 -4.0871E-01
 -1.3488E-03 -1.0361E-01 -4.0871E-01
 -1.3488E-03 -1.0361E-01 -4.0871E-01
 -1.3488E-03 -1.0361E-01 -4.0871E-01
 -1.3488E-03 -1.0361E-01 -4.0871E-01
 -1.3488E-03 -1.0361E-01 -4.0871E-01
 -1.3488E-03 -1.0361E-01 -4.0871E-01
 -1.3488E-03 -1.0361E-01 -4.0871E-01
 -1.3488E-03 -1.0361E-01 -4.0871E-01
  3.7831E-02 -3.1578E-01 -1.2619E-01
  3.7831E-02 -3.1578E-01 -1.2619E-01
  3.7831E-02 -3.1578E-01 -1.2619E-01
  3.7831E-02 -3.1578E-01 -1.2619E-01
  3.7831E-02 -3.1578E-01 -1.2619E-01
  3.7831E-02 -3.1578E-01 -1.2619E-01
  3.7831E-02 -3.1578E-01 -1.2619E-01
  3.7831E-02 -3.1578E-01 -1.2619E-01
  3.7831E-02 -3.1578E-01 -1.2619E-01
  2.5032E-02 -2.2253E-01 -2.1539E-01
  2.5032E-02 -2.2253E-01 -2.1539E-01
  2.5032E-02 -2.2253E-01 -2.1539E-01
  2.5032E-02 -2.2253E-01 -2.1539E-01
  2.5032E-02 -2.2253E-01 -2.1539E-01
  2.5032E-02 -2.2253E-01 -2.1539E-01
  2.5032E-02 -2.2253E-01 -2.1539E-01
  2.5032E-02 -2.2253E-01 -2.1539E-01
 -2.8137E-02  1.4172E-01  7.9710E-02
 -2.8137E-02  1.4172E-01  7.9710E-02
 -2.8137E-02  1.4172E-01  7.9710E-02
 -2.8137E-02  1.4172E-01  7.9710E-02
 -2.8137E-02  1.4172E-01  7.9710E-02
 -2.8137E-02  1.4172E-01  7.9710E-02
 -2.8137E-02  1.4172E-01  7.9710E-02
 -2.8137E-02  1.4172E-01  7.9710E-02
 -2.8137E-02  1.4172E-01  7.9710E-02
 -5.4474E-03  1.1296E-02 -1.5381E-01
 -5.4474E-03  1.1296E-02 -1.5381E-01
 -5.4474E-03  1.1296E-02 -1.5381E-01
 -5.4474E-03  1.1296E-02 -1.5381E-01
 -5.4474E-03  1.1296E-02 -1.5381E-01
 -5.4474E-03  1.1296E-02 -1.5381E-01
 -5.4474E-03  1.1296E-02 -1.5381E-01
 -5.4474E-03  1.1296E-02 -1.5381E-01
 -5.4474E-03  1.1296E-02 -1.5381E-01
 -5.4474E-03  1.1296E-02 -1.5381E-01
  8.1239E-03 -3.8335E-01  3.5698E-01
  8.1239E-03 -3.8335E-01  3.5698E-01
  8.1239E-03 -3.8335E-01  3.5698E-01
  8.1239E-03 -3.8335E-01  3.5698E-01
  8.1239E-03 -3.8335E-01  3.5698E-01
  8.1239E-03 -3.8335E-01  3.5698E-01
  8.1239E-03 -3.8335E-01  3.5698E-01
  8.1239E-03 -3.8335E-01  3.5698E-01
 -2.2360E-02  5.4072E-02  4.6985E-01
 -2.2360E-02  5.4072E-02  4.6985E-01
 -2.2360E-02  5.4072E-02  4.6985E-01
 -2.2360E-02  5.4072E-02  4.6985E-01
 -2.2360E-02  5.4072E-02  4.6985E-01
 -2.2360E-02  5.4072E-02  4.6985E-01
 -2.2360E-02  5.4072E-02  4.6985E-01
 -6.5118E-02  1.3078E-01 -9.0924E-01
 -6.5118E-02  1.3078E-01 -9.0924E-01
 -6.5118E-02  1.3078E-01 -9.0924E-01
 -6.5118E-02  1.3078E-01 -9.0924E-01
 -6.5118E-02  1.3078E-01 -9.0924E-01
 -6.5118E-02  1.3078E-01 -9.0924E-01
 -6.5118E-02  1.3078E-01 -9.0924E-01
 -6.5118E-02  1.3078E-01 -9.0924E-01
 -6.5118E-02  1.3078E-01 -9.0924E-01
 -6.5118E-02  1.3078E-01 -9.0924E-01
 -2.6863E-02  2.0511E-01 -3.0069E-01
 -2.6863E-02  2.0511E-01 -3.0069E-01
 -2.6863E-02  2.0511E-01 -3.0069E-01
 -2.6863E-02  2.0511E-01 -3.0069E-01
 -2.6863E-02  2.0511E-01 -3.0069E-01
 -2.6863E-02  2.0511E-01 -3.0069E-01
 -2.6863E-02  2.0511E-01 -3.0069E-01
 -2.6863E-02  2.0511E-01 -3.0069E-01
 -2.6863E-02  2.0511E-01 -3.0069E-01
 -2.6863E-02  2.0511E-01 -3.0069E-01
 -2.6849E-04 -7.2093E-01  3.3284E-01
 -2.6849E-04 -7.2093E-01  3.3284E-01
 -2.6849E-04 -7.2093E-01  3.3284E-01
 -2.6849E-04 -7.2093E-01  3.3284E-01
 -2.6849E-04 -7.2093E-01  3.3284E-01
 -2.6849E-04 -7.2093E-01  3.3284E-01
 -2.6849E-04 -7.2093E-01  3.3284E-01
 -2.6849E-04 -7.2093E-01  3.3284E-01
 -2.6849E-04 -7.2093E-01  3.3284E-01
  3.3300E-02  3.9804E-01 -2.9754E-01
  3.3300E-02  3.9804E-01 -2.9754E-01
  3.3300E-02  3.9804E-01 -2.9754E-01
  3.3300E-02  3.9804E-01 -2.9754E-01
  3.3300E-02  3.9804E-01 -2.9754E-01
  3.3300E-02  3.9804E-01 -2.9754E-01
  3.3300E-02  3.9804E-01 -2.9754E-01
  3.3300E-02  3.9804E-01 -2.9754E-01
  3.3300E-02  3.9804E-01 -2.9754E-01
  3.3300E-02  3.9804E-01 -2.9754E-01
 -4.8878E-03  2.7247E-01  8.8172E-02
 -4.8878E-03  2.7247E-01  8.8172E-02
 -4.8878E-03  2.7247E-01  8.8172E-02
 -4.8878E-03  2.7247E-01  8.8172E-02
 -4.8878E-03  2.7247E-01  8.8172E-02
 -4.8878E-03  2.7247E-01  8.8172E-02
 -4.8878E-03  2.7247E-01  8.8172E-02
 -4.8878E-03  2.7247E-01  8.8172E-02
 -4.8878E-03  2.7247E-01  8.8172E-02
 -4.8878E-03  2.7247E-01  8.8172E-02
 -4.8405E-02 -1.8154E-01  6.5222E-01
 -4.8405E-02 -1.8154E-01  6.5222E-01
 -4.8405E-02 -1.8154E-01  6.5222E-01
 -4.8405E-02 -1.8154E-01  6.5222E-01
 -4.8405E-02 -1.8154E-01  6.5222E-01
 -4.8405E-02 -1.8154E-01  6.5222E-01
 -4.8405E-02 -1.8154E-01  6.5222E-01
  5.8737E-02 -3.9216E-01 -4.5005E-01
  5.8737E-02 -3.9216E-01 -4.5005E-01
  5.8737E-02 -3.9216E-01 -4.5005E-01
  5.8737E-02 -3.9216E-01 -4.5005E-01
  5.8737E-02 -3.9216E-01 -4.5005E-01
  5.8737E-02 -3.9216E-01 -4.5005E-01
  5.8737E-02 -3.9216E-01 -4.5005E-01
  5.8737E-02 -3.9216E-01 -4.5005E-01
  5.8737E-02 -3.9216E-01 -4.5005E-01
  5.8737E-02 -3.9216E-01 -4.5005E-01
 -4.6198E-02  4.8142E-02 -3.6771E-01
 -4.6198E-02  4.8142E-02 -3.6771E-01
 -4.6198E-02  4.8142E-02 -3.6771E-01
 -4.6198E-02  4.8142E-02 -3.6771E-01
 -4.6198E-02  4.8142E-02 -3.6771E-01
 -4.6198E-02  4.8142E-02 -3.6771E-01
 -4.6198E-02  4.8142E-02 -3.6771E-01
 -4.6198E-02  4.8142E-02 -3.6771E-01
 -4.6198E-02  4.8142E-02 -3.6771E-01
 -4.6198E-02  4.8142E-02 -3.6771E-01
 -2.4729E-02  1.3244E-01 -1.7269E-01
